   1.0000000e-05   9.6694214e+07   7.4900920e+06   6.6798520e+06   2.6629740e+06
   1.1481536e-05   8.4217096e+07   6.5228700e+06   5.8169260e+06   2.3193540e+06
   1.3182567e-05   7.3350001e+07   5.6805630e+06   5.0655760e+06   2.0200720e+06
   1.5135612e-05   6.3885131e+07   4.9467510e+06   4.4109970e+06   1.7594100e+06
   1.7378008e-05   5.5641594e+07   4.3077710e+06   3.8408900e+06   1.5323820e+06
   1.9952623e-05   4.8461768e+07   3.7512890e+06   3.3444250e+06   1.3346480e+06
   2.2908677e-05   4.2208409e+07   3.2665140e+06   2.9119450e+06   1.1624300e+06
   2.6302680e-05   3.6761933e+07   2.8443590e+06   2.5353650e+06   1.0124340e+06
   3.0199517e-05   3.2018286e+07   2.4766590e+06   2.2072220e+06   8.8179300e+05
   3.4673685e-05   2.7886732e+07   2.1563900e+06   1.9215830e+06   7.6801000e+05
   3.9810717e-05   2.4288281e+07   1.8774200e+06   1.6728020e+06   6.6890900e+05
   4.5708819e-05   2.1154163e+07   1.6345490e+06   1.4559540e+06   5.8259500e+05
   5.2480746e-05   1.8424493e+07   1.4228690e+06   1.2671510e+06   5.0741900e+05
   6.0255959e-05   1.6047003e+07   1.2386250e+06   1.1028070e+06   4.4194300e+05
   6.9183097e-05   1.3976342e+07   1.0780810e+06   9.5958900e+05   3.8491600e+05
   7.9432823e-05   1.2172837e+07   9.3836600e+05   8.3485200e+05   3.3524800e+05
   9.1201084e-05   1.0602053e+07   8.1658700e+05   7.2630200e+05   2.9198900e+05
   1.0471285e-04   9.2339630e+06   7.1048000e+05   6.3170200e+05   2.5431200e+05
   1.2022644e-04   8.0424160e+06   6.1813100e+05   5.4926400e+05   2.2149600e+05
   1.3803843e-04   7.0046360e+06   5.3775100e+05   4.7754200e+05   1.9291500e+05
   1.5848932e-04   6.1007420e+06   4.6768400e+05   4.1496900e+05   1.6802200e+05
   1.8197009e-04   5.3135010e+06   4.0665500e+05   3.6063500e+05   1.4634100e+05
   2.0892961e-04   4.6278250e+06   3.5349300e+05   3.1326000e+05   1.2745700e+05
   2.3988329e-04   4.0306200e+06   3.0720900e+05   2.7188900e+05   1.1101100e+05
   2.7542287e-04   3.5104850e+06   2.6692400e+05   2.3596500e+05   9.6686000e+04
   3.1622777e-04   3.0575000e+06   2.3181500e+05   2.0462200e+05   8.4210000e+04
   3.6307805e-04   2.6629180e+06   2.0127000e+05   1.7731300e+05   7.3344000e+04
   4.1686938e-04   2.3192710e+06   1.7470700e+05   1.5363200e+05   6.3880000e+04
   4.7863009e-04   2.0199790e+06   1.5139800e+05   1.3299000e+05   5.5637000e+04
